Date,HomeTeam,AwayTeam,Season
15/08/2025,Liverpool,Bournemouth,2025
16/08/2025,Aston Villa,Newcastle,2025
16/08/2025,Brighton,Fulham,2025
16/08/2025,Sunderland,West Ham,2025
16/08/2025,Tottenham,Burnley,2025
16/08/2025,Wolves,Man City,2025
17/08/2025,Chelsea,Crystal Palace,2025
17/08/2025,Nott'm Forest,Brentford,2025
17/08/2025,Man United,Arsenal,2025
18/08/2025,Leeds,Everton,2025
22/08/2025,West Ham,Chelsea,2025
23/08/2025,Man City,Tottenham,2025
23/08/2025,Bournemouth,Wolves,2025
23/08/2025,Brentford,Aston Villa,2025
23/08/2025,Burnley,Sunderland,2025
23/08/2025,Arsenal,Leeds,2025
24/08/2025,Crystal Palace,Nott'm Forest,2025
24/08/2025,Everton,Brighton,2025
24/08/2025,Fulham,Man United,2025
25/08/2025,Newcastle,Liverpool,2025
30/08/2025,Chelsea,Fulham,2025
30/08/2025,Man United,Burnley,2025
30/08/2025,Sunderland,Brentford,2025
30/08/2025,Tottenham,Bournemouth,2025
30/08/2025,Wolves,Everton,2025
30/08/2025,Leeds,Newcastle,2025
31/08/2025,Brighton,Man City,2025
31/08/2025,Nott'm Forest,West Ham,2025
31/08/2025,Liverpool,Arsenal,2025
31/08/2025,Aston Villa,Crystal Palace,2025
13/09/2025,Arsenal,Nott'm Forest,2025
13/09/2025,Bournemouth,Brighton,2025
13/09/2025,Crystal Palace,Sunderland,2025
13/09/2025,Everton,Aston Villa,2025
13/09/2025,Fulham,Leeds,2025
13/09/2025,Newcastle,Wolves,2025
13/09/2025,West Ham,Tottenham,2025
13/09/2025,Brentford,Chelsea,2025
14/09/2025,Burnley,Liverpool,2025
14/09/2025,Man City,Man United,2025
20/09/2025,Liverpool,Everton,2025
20/09/2025,Brighton,Tottenham,2025
20/09/2025,Burnley,Nott'm Forest,2025
20/09/2025,West Ham,Crystal Palace,2025
20/09/2025,Wolves,Leeds,2025
20/09/2025,Man United,Chelsea,2025
20/09/2025,Fulham,Brentford,2025
21/09/2025,Bournemouth,Newcastle,2025
21/09/2025,Sunderland,Aston Villa,2025
21/09/2025,Arsenal,Man City,2025
27/09/2025,Brentford,Man United,2025
27/09/2025,Chelsea,Brighton,2025
27/09/2025,Crystal Palace,Liverpool,2025
27/09/2025,Leeds,Bournemouth,2025
27/09/2025,Man City,Burnley,2025
27/09/2025,Nott'm Forest,Sunderland,2025
27/09/2025,Tottenham,Wolves,2025
28/09/2025,Aston Villa,Fulham,2025
28/09/2025,Newcastle,Arsenal,2025
29/09/2025,Everton,West Ham,2025
03/10/2025,Bournemouth,Fulham,2025
04/10/2025,Leeds,Tottenham,2025
04/10/2025,Arsenal,West Ham,2025
04/10/2025,Man United,Sunderland,2025
04/10/2025,Chelsea,Liverpool,2025
05/10/2025,Aston Villa,Burnley,2025
05/10/2025,Everton,Crystal Palace,2025
05/10/2025,Newcastle,Nott'm Forest,2025
05/10/2025,Wolves,Brighton,2025
05/10/2025,Brentford,Man City,2025
